# s  E(k)=eps-mu  kx  ky
2.162865711509896 -0.8543565772447489 2.162865711509896 0
2.174948760177549 -0.8423741207983518 2.174948760177549 0
2.187031808845202 -0.830491188129081 2.187031808845202 0
2.199114857512855 -0.8187095141247712 2.199114857512855 0
2.211197906180508 -0.8070308188896661 2.211197906180508 0
2.223280954848161 -0.7954568074932854 2.223280954848161 0
2.235364003515814 -0.783989169721487 2.235364003515814 0
2.247447052183468 -0.7726295798297623 2.247447052183468 0
2.259530100851121 -0.7613796962987963 2.259530100851121 0
2.271613149518773 -0.7502411615923342 2.271613149518773 0
2.283696198186426 -0.7392156019173818 2.283696198186426 0
2.295779246854079 -0.7283046269867849 2.295779246854079 0
2.307862295521733 -0.7175098297842114 2.307862295521733 0
2.319945344189386 -0.7068327863315821 2.319945344189386 0
2.332028392857039 -0.6962750554589695 2.332028392857039 0
2.344111441524692 -0.6858381785770146 2.344111441524692 0
2.356194490192345 -0.6755236794518819 2.356194490192345 0
2.368277538859998 -0.6653330639827936 2.368277538859998 0
2.380360587527651 -0.6552678199821697 2.380360587527651 0
2.392443636195304 -0.6453294169584108 2.392443636195304 0
2.404526684862957 -0.6355193059013512 2.404526684862957 0
2.41660973353061 -0.6258389190704173 2.41660973353061 0
2.428692782198263 -0.6162896697855224 2.428692782198263 0
2.440775830865916 -0.6068729522207207 2.440775830865916 0
2.452858879533569 -0.5975901412006629 2.452858879533569 0
2.464941928201222 -0.588442591999872 2.464941928201222 0
2.477024976868875 -0.5794316401448786 2.477024976868875 0
2.489108025536528 -0.5705586012192337 2.489108025536528 0
2.501191074204181 -0.5618247706714367 2.501191074204181 0
2.513274122871834 -0.5532314236258019 2.513274122871834 0
2.525357171539488 -0.5447798146962931 2.525357171539488 0
2.537440220207141 -0.5364711778033512 2.537440220207141 0
2.549523268874794 -0.5283067259937447 2.549523268874794 0
2.561606317542447 -0.5202876512634668 2.561606317542447 0
2.573689366210099 -0.5124151243837057 2.573689366210099 0
2.585772414877753 -0.5046902947299138 2.585772414877753 0
2.597855463545406 -0.4971142901140019 2.597855463545406 0
2.609938512213059 -0.4896882166196797 2.609938512213059 0
2.622021560880712 -0.4824131584409699 2.622021560880712 0
2.634104609548365 -0.4752901777239174 2.634104609548365 0
2.646187658216018 -0.4683203144115176 2.646187658216018 0
2.658270706883671 -0.461504586091887 2.658270706883671 0
2.670353755551324 -0.4548439878496975 2.670353755551324 0
2.682436804218977 -0.4483394921208943 2.682436804218977 0
2.69451985288663 -0.4419920485507237 2.69451985288663 0
2.706602901554283 -0.4358025838550843 2.706602901554283 0
2.718685950221936 -0.4297720016852308 2.718685950221936 0
2.73076899888959 -0.42390118249584 2.73076899888959 0
2.742852047557243 -0.4181909834164672 2.742852047557243 0
2.754935096224895 -0.4126422381264072 2.754935096224895 0
2.767018144892548 -0.4072557567329763 2.767018144892548 0
2.779101193560201 -0.4020323256532411 2.779101193560201 0
2.791184242227855 -0.3969727074992005 2.791184242227855 0
2.803267290895508 -0.392077640966447 2.803267290895508 0
2.815350339563161 -0.387347840726318 2.815350339563161 0
2.827433388230814 -0.3827839973215545 2.827433388230814 0
2.839516436898467 -0.3783867770654841 2.839516436898467 0
2.85159948556612 -0.3741568219447393 2.85159948556612 0
2.863682534233773 -0.3700947495255297 2.863682534233773 0
2.875765582901426 -0.3662011528634772 2.875765582901426 0
2.887848631569079 -0.3624766004170316 2.887848631569079 0
2.899931680236732 -0.3589216359644763 2.899931680236732 0
2.912014728904385 -0.3555367785245386 2.912014728904385 0
2.924097777572038 -0.3523225222806122 2.924097777572038 0
2.936180826239691 -0.3492793365086087 2.936180826239691 0
2.948263874907344 -0.3464076655084427 2.948263874907344 0
2.960346923574997 -0.3437079285391665 2.960346923574997 0
2.97242997224265 -0.3411805197577579 2.97242997224265 0
2.984513020910303 -0.3388258081615736 2.984513020910303 0
2.996596069577957 -0.3366441375344774 2.996596069577957 0
3.00867911824561 -0.3346358263966479 3.00867911824561 0
3.020762166913263 -0.332801167958074 3.020762166913263 0
3.032845215580916 -0.3311404300757486 3.032845215580916 0
3.044928264248569 -0.3296538552145605 3.044928264248569 0
3.057011312916222 -0.3283416604118956 3.057011312916222 0
3.069094361583875 -0.3272040372459496 3.069094361583875 0
3.081177410251528 -0.3262411518077578 3.081177410251528 0
3.093260458919181 -0.3254531446769469 3.093260458919181 0
3.105343507586834 -0.3248401309012093 3.105343507586834 0
3.117426556254487 -0.3244021999795073 3.117426556254487 0
3.12950960492214 -0.324139415849006 3.12950960492214 0
3.141592653589793 -0.3240518168757388 3.141592653589793 0
3.153675702257446 -0.3238474192714488 3.141592653589793 0.01208304866765305
3.165758750925099 -0.323234256300279 3.141592653589793 0.0241660973353061
3.177841799592752 -0.3222124174829742 3.141592653589794 0.03624914600295916
3.189924848260405 -0.3207820520062534 3.141592653589794 0.04833219467061221
3.202007896928059 -0.3189433687010278 3.141592653589793 0.06041524333826526
3.214090945595712 -0.316696636011914 3.141592653589793 0.07249829200591831
3.226173994263365 -0.31404218195804 3.141592653589793 0.08458134067357136
3.238257042931018 -0.310980394085155 3.141592653589793 0.09666438934122441
3.250340091598671 -0.3075117194090493 3.141592653589793 0.1087474380088775
3.262423140266324 -0.3036366643502899 3.141592653589793 0.1208304866765305
3.274506188933977 -0.2993557946602844 3.141592653589793 0.1329135353441836
3.28658923760163 -0.2946697353386819 3.141592653589793 0.1449965840118366
3.298672286269283 -0.2895791705421246 3.141592653589793 0.1570796326794897
3.310755334936936 -0.2840848434843614 3.141592653589793 0.1691626813471427
3.322838383604589 -0.2781875563277409 3.141592653589793 0.1812457300147958
3.334921432272242 -0.2718881700660964 3.141592653589793 0.1933287786824488
3.347004480939896 -0.2651876043990428 3.141592653589793 0.2054118273501019
3.359087529607549 -0.2580868375977007 3.141592653589794 0.2174948760177549
3.371170578275202 -0.2505869063618725 3.141592653589794 0.229577924685408
3.383253626942855 -0.2426889056686844 3.141592653589793 0.241660973353061
3.395336675610508 -0.2343939886127228 3.141592653589793 0.2537440220207141
3.407419724278161 -0.2257033662376829 3.141592653589793 0.2658270706883671
3.419502772945814 -0.2166183073595601 3.141592653589793 0.2779101193560202
3.431585821613467 -0.2071401383814042 3.141592653589793 0.2899931680236733
3.44366887028112 -0.1972702430996665 3.141592653589793 0.3020762166913263
